Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,MaSp1,MaSp2,MaSp2B,MaSp3,MaSp3B,Spidroin,sp.,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd,Cluster
27,3366-W1_S6,3366.0,DRR297406,octotuberculata,Cyclosa,Araneidae,12.579305253956408,16.876686514900502,11.921557070054815,16.98780835839929,5.459431618637297,13.257451382735956,14.85561685020833,Cyclosa,octotuberculata,1112407.0,urn:lsid:nmbe.ch:spidersp:015669,Unknown,Female,2016-05-12,Japan,9.0,0.165,0.045,8.85,1.35,1.34,0.17,19.4,3.1,213.0,253.0,295.0,,42.7,13.0,0.97,0.12,5.9,,,0.0
32,3469-W1_S8,3469.0,DRR296564,acusisetus,Araneus,Araneidae,18.97207156596258,17.567453060619933,8.625708843064466,16.286083366961563,7.167217419116357,15.738616927794515,15.951887190756626,Araneus,acusisetus,1112381.0,urn:lsid:nmbe.ch:spidersp:014661,Unknown,Female,2016-05-13,Japan,4.0,0.053,0.017,3.26,0.35,0.5,0.06,19.7,5.3,,,,11.0,39.2,12.7,1.23,0.12,,,,5.0
35,3534-W1_S7,3534.0,DRR297205,sia,Yaginumia,Araneidae,18.158630064148117,16.250574008018173,6.930737337562887,5.809041373926177,5.410460170891247,13.84222974802226,12.49800667391876,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Female,2016-05-17,Japan,10.0,0.106,0.036,10.1,2.7,0.97,0.11,16.7,3.5,,,,9.0,52.3,8.0,0.87,0.04,,,,0.0
37,3545-W1_S22,3545.0,DRR297415,argenteoalba,Cyclosa,Araneidae,13.51612090953174,19.209996755964635,14.793038835360464,12.939579508201376,6.475733430966398,13.02967238199906,14.876054432235552,Cyclosa,argenteoalba,345692.0,urn:lsid:nmbe.ch:spidersp:015571,Unknown,Female,2016-05-18,Japan,6.0,0.142,0.028,15.9,8.5,1.46,0.33,17.9,5.8,,,,,63.1,10.3,0.6,0.04,,,,0.0
40,3590-W1_S13,3590.0,DRR296546,sachalinensis,Plebs,Araneidae,18.685078626096686,18.052930960516328,12.450337212534109,8.091618421984029,7.481444263017752,13.736502892567442,16.44933158804585,Plebs,sachalinensis,2337611.0,urn:lsid:nmbe.ch:spidersp:015887,Unknown,Female,2016-05-19,Japan,5.0,0.215,0.054,8.11,1.27,2.12,0.34,19.8,2.3,,,,,51.8,10.7,0.41,0.06,,,,0.0
44,3630-W1_S17,3630.0,DRR296662,ocula,Argiope,Araneidae,18.90933471103468,17.900701467589155,8.836050355982714,10.320800548881635,7.022367813028454,14.210957220559358,14.731605189854616,Argiope,ocula,716557.0,urn:lsid:nmbe.ch:spidersp:015393,Unknown,Female,2016-06-20,Japan,10.0,0.096,0.032,7.2,0.3,1.01,0.13,19.7,2.8,,,,4.0,32.6,1.2,4.46,0.08,,,,5.0
45,3631-W1_S18,3631.0,DRR297930,laticauda,Cyclosa,Araneidae,13.864184053364138,18.090781225340663,10.501746085286404,17.397562421012562,7.357552004618084,13.003644861519062,14.647435180341276,Cyclosa,laticauda,1112405.0,urn:lsid:nmbe.ch:spidersp:015644,Unknown,Female,2016-06-20,Japan,7.0,0.103,0.03,8.02,2.02,0.94,0.11,21.9,2.1,,,,27.0,36.3,4.2,1.96,0.12,,35.5,6.9,0.0
46,3653-W1_S8,3653.0,DRR296802,aetheroides,Argiope,Araneidae,15.378648531910986,16.668486639335754,7.459431618637297,5.169925001442312,5.169925001442312,14.734271245437853,17.371257054777516,Argiope,aetheroides,716551.0,urn:lsid:nmbe.ch:spidersp:015343,Unknown,Female,2016-06-20,Japan,15.0,0.112,0.038,7.06,1.08,0.89,0.13,24.3,5.2,217.0,278.0,298.0,30.0,39.9,9.8,2.87,0.34,3.0,36.7,7.2,0.0
47,3656-W1_S19,3656.0,DRR297961,nautica,Neoscona,Araneidae,16.697591415049782,17.59638079696158,8.909893083770042,14.745227247189858,7.118941072723508,15.018480027116611,14.740601740826062,Neoscona,nautica,258338.0,urn:lsid:nmbe.ch:spidersp:016729,Unknown,Female,2016-06-21,Japan,8.0,0.05,0.014,6.33,0.26,0.7,0.08,13.1,1.5,210.0,273.0,291.0,21.0,34.3,9.5,2.09,0.31,2.4,31.6,11.5,5.0
48,3681-W1_S20,3681.0,DRR296576,subpullata,Neoscona,Araneidae,17.707346070417927,14.357962627051108,8.682994583681683,15.813227794513171,7.312882955284356,12.490490297816311,14.77706933442633,Neoscona,subpullata,1112447.0,urn:lsid:nmbe.ch:spidersp:016761,Unknown,Female,2016-06-21,Japan,5.0,0.083,0.017,6.31,0.54,0.8,0.02,18.6,3.7,,,,20.0,51.7,11.0,1.16,0.11,,,,5.0
52,3767-W1_S24,3767.0,DRR296956,confusa,Cyclosa,Araneidae,13.777010466308132,16.566804528077697,13.542440647442229,10.342941269547817,6.879949788486957,9.316632685152884,14.574460799340809,Cyclosa,confusa,1112402.0,urn:lsid:nmbe.ch:spidersp:015594,Unknown,Female,2016-06-22,Japan,8.0,0.05,0.017,5.29,2.08,0.64,0.16,16.3,0.9,,,,,37.9,6.5,1.17,0.05,,,,0.0
53,3793-W1_S12,3793.0,DRR297109,zilloides,Metazygia,Araneidae,17.460038701593685,15.216098849498522,6.554588851677638,5.459431623255889,5.357552009574621,13.382086981123472,12.82449737318499,Metazygia,zilloides,2337760.0,urn:lsid:nmbe.ch:spidersp:016493,Unknown,Female,2016-06-30,United States,,0.31,0.076,19.0,6.28,2.52,0.25,23.6,5.0,,,,6.0,61.6,10.5,0.36,0.03,,,,0.0
54,3796-W1_S21,3796.0,DRR297908,cancriformis,Gasteracantha,Araneidae,13.963370783792811,17.92377949415641,13.709600132148106,9.232929078869596,6.26105874055119,14.463295331862676,17.63260354702146,Gasteracantha,cancriformis,472970.0,urn:lsid:nmbe.ch:spidersp:016007,Unknown,Female,2016-06-30,United States,,0.147,0.048,8.62,1.5,1.03,0.18,26.9,4.3,239.0,289.0,308.0,24.0,31.1,4.8,2.56,0.24,5.6,,,0.0
55,3798-W1_S22,3798.0,DRR297871,sagittata,Micrathena,Araneidae,15.993266280745791,19.37826456429043,9.681003941602064,6.94251450533924,6.459431618637297,11.252824287505378,13.483641493774378,Micrathena,sagittata,1481434.0,urn:lsid:nmbe.ch:spidersp:016617,Unknown,Female,2016-06-30,United States,,0.141,0.031,15.5,3.5,1.04,0.1,20.8,5.3,253.0,282.0,296.0,21.0,43.2,9.5,0.95,0.03,4.9,43.9,7.3,0.0
57,3801-W1_S1,3801.0,DRR297299,sagittata,Micrathena,Araneidae,19.2080681361823,20.174207572016737,11.57711694842972,8.059555373641276,7.881352605227182,13.400047065586705,15.58388259682456,Micrathena,sagittata,1481434.0,urn:lsid:nmbe.ch:spidersp:016617,Unknown,Female,2016-06-30,United States,,0.153,0.038,9.54,1.9,1.1,0.08,24.5,7.9,,,,13.0,32.1,7.9,1.67,0.06,,,,0.0
58,3819-W1_S13,3819.0,DRR297616,bicentenarius,Araneus,Araneidae,15.553558197699669,15.981835821183068,11.949221384885856,12.486249633609107,5.491853096329675,12.464713341818042,14.682744414209097,Araneus,bicentenarius,29013.0,urn:lsid:nmbe.ch:spidersp:014742,Unknown,Female,2016-07-01,United States,22.0,0.112,0.067,7.93,2.7,1.23,0.43,18.4,4.3,243.0,292.0,309.0,23.0,40.8,3.8,5.37,0.13,8.6,55.7,4.5,0.0
59,3830-W1_S2,3830.0,DRR297130,clavipes,Trichonephila,Araneidae,19.235271922394887,18.907823200655777,8.265364785750307,17.61523800315683,17.61393683566382,8.977832459623036,13.764079942720183,Trichonephila,clavipes,6915.0,urn:lsid:nmbe.ch:spidersp:013943,Unknown,Male,2016-07-01,United States,6.0,0.131,0.036,10.4,2.86,1.56,0.24,17.1,3.2,,,,12.0,58.9,12.6,0.8,0.04,,,,4.0
62,3857-W1_S14,3857.0,DRR297931,-,Neoscona,Araneidae,12.742138244787284,13.012679475952698,9.050288093441605,12.572752633351008,5.584962500721156,11.4048908264444,19.33998235948536,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Female,2016-07-01,United States,10.0,0.13,0.014,6.84,1.52,0.97,0.13,30.8,4.3,248.0,294.0,309.0,22.0,30.6,7.9,2.07,0.41,3.8,,,0.0
63,3860-W1_S15,3860.0,DRR296658,-,Neoscona,Araneidae,13.400675179230303,14.2448897904359,8.053518775087815,12.322266271206692,5.754887502163468,12.280553513936722,20.61019344038132,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Male,2016-07-01,United States,10.0,0.087,0.028,24.1,9.16,1.68,0.36,8.7,0.5,203.0,273.0,297.0,25.0,28.3,7.3,1.28,0.17,8.1,,,4.0
64,3868-W1_S16,3868.0,DRR297713,lemniscata,Mecynogea,Araneidae,16.09198747202788,16.20040811971048,6.475733430966398,6.857980992403864,6.40939093242064,9.248911668229727,13.977766414265194,Mecynogea,lemniscata,329906.0,urn:lsid:nmbe.ch:spidersp:016398,Unknown,Female,2016-07-02,United States,7.0,0.077,0.051,7.63,3.58,1.01,0.33,11.2,2.2,215.0,285.0,316.0,24.0,54.6,7.9,0.69,0.02,4.5,,,0.0
65,3875-W1_S1,3875.0,DRR297497,lemniscata,Mecynogea,Araneidae,16.438874295824544,18.74580297934177,7.417852514885898,6.169924991581011,5.672425328049658,9.61827202370026,12.99350955808828,Mecynogea,lemniscata,329906.0,urn:lsid:nmbe.ch:spidersp:016398,Unknown,Unknown,2016-07-02,United States,6.0,0.152,0.005,7.76,2.11,1.4,0.16,17.6,3.2,,,,9.0,28.4,7.4,0.75,0.03,,,,0.0
67,3883-W1_S18,3883.0,DRR297535,cornutus,Larinioides,Araneidae,15.824526921845742,15.4023291396862,10.224001312318032,11.262736578558284,5.20945336562895,10.110915622894057,11.804651480279658,Larinioides,cornutus,336591.0,urn:lsid:nmbe.ch:spidersp:016288,Unknown,Female,2016-07-02,United States,14.0,0.139,0.017,15.4,3.09,1.82,0.12,15.3,1.3,224.0,281.0,300.0,24.0,36.5,0.8,2.84,0.02,9.9,34.1,3.4,0.0
68,3897-W1_S20,3897.0,DRR296775,anastera,Eustala,Araneidae,17.65874020129347,17.761795230130733,7.473111472257916,6.626868376825708,6.536509888568101,11.045254980875528,14.94023379727652,Eustala,anastera,336652.0,urn:lsid:nmbe.ch:spidersp:015911,Unknown,Female,2016-07-02,United States,7.0,0.025,0.008,4.21,0.52,0.45,0.17,9.9,1.3,,,,,40.9,5.8,1.25,0.08,,,,0.0
69,3899-W1_S21,3899.0,DRR297394,-,Neoscona,Araneidae,13.196967413755727,14.36276877326332,8.161605916268366,11.850490570937732,5.426264754715518,12.353297859876474,20.36604479568133,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Female,2016-07-02,United States,11.0,0.046,0.008,4.23,0.31,0.59,0.05,17.0,0.6,227.0,278.0,297.0,20.0,33.4,5.0,2.07,0.02,12.3,,,0.0
70,3900-W1_S22,3900.0,DRR297665,anastera,Eustala,Araneidae,15.095545716119622,14.747196576595254,6.741466986401147,5.614709844115208,5.523561956057013,9.776945130423591,13.27072449814509,Eustala,anastera,336652.0,urn:lsid:nmbe.ch:spidersp:015911,Unknown,Female,2016-07-02,United States,9.0,0.106,0.019,8.17,1.19,0.91,0.07,18.0,3.7,,,,12.0,37.4,9.6,1.19,0.14,,,,0.0
75,3959-W1_S4,3959.0,DRR297125,labyrinthea,Metepeira,Araneidae,14.469470242805745,16.659943300249463,7.179909487999718,7.794416127834861,7.707359409830238,10.787895377133545,15.0620559851237,Metepeira,labyrinthea,472973.0,urn:lsid:nmbe.ch:spidersp:016515,Unknown,Unknown,2016-07-04,United States,4.0,0.126,0.042,4.04,1.51,1.26,0.15,20.3,2.5,263.0,292.0,307.0,10.0,61.7,11.3,0.7,0.03,15.6,,,0.0
78,4023-W1_S4,4023.0,DRR296634,punctigera,Neoscona,Araneidae,19.415207345975222,19.951288673591744,9.648313536441986,16.71000214144724,9.879110326510965,13.118331019666472,17.72217129933625,Neoscona,punctigera,1112444.0,urn:lsid:nmbe.ch:spidersp:016743,Unknown,Unknown,2016-07-13,Japan,6.0,0.162,0.054,4.25,1.48,1.08,0.15,32.7,6.2,,,,,35.1,1.9,1.85,0.05,,,,5.0
80,4039-W1_S9,4039.0,DRR297775,scylloides,Neoscona,Araneidae,16.42634047446808,17.215897376294365,9.97540318609088,11.918662096586624,5.882643147171671,12.292666713464827,15.144961756965206,Neoscona,scylloides,1112446.0,urn:lsid:nmbe.ch:spidersp:016751,Unknown,Female,2016-07-14,Japan,11.0,0.126,0.035,3.21,0.71,0.77,0.24,35.4,4.8,215.0,283.0,301.0,21.0,37.0,7.3,2.85,0.25,3.1,,,0.0
98,4419-W1_S7,4419.0,DRR297465,hamulata,Cyclosa,Araneidae,13.263586807277484,18.770657844309827,12.710328044173858,12.118795595673223,6.93615734853431,11.087723777197668,13.977169310310448,Cyclosa,hamulata,2337382.0,urn:lsid:nmbe.ch:spidersp:015627,Unknown,Female,2016-09-28,Japan,10.0,0.03,0.014,1.68,0.2,0.33,0.06,16.7,4.6,,,,,42.5,4.1,1.18,0.05,,,,0.0
99,4426-W1_S4,4426.0,DRR297809,mitificus,Araneus,Araneidae,15.259804837230524,20.507657613201577,16.318159402927257,11.436435628953245,8.461371844826363,15.4912229405322,16.63231356911054,Araneus,mitificus,1662246.0,urn:lsid:nmbe.ch:spidersp:015032,Unknown,Female,2016-09-28,Japan,8.0,0.239,0.099,9.01,3.46,1.05,0.29,34.3,10.1,224.0,277.0,298.0,16.0,39.5,9.1,0.68,0.04,4.8,,,0.0
100,4440-W1_S18,4440.0,DRR297182,variegatus,Araneus,Araneidae,16.130472733008173,17.085346858307535,13.294229643399282,16.41524658894356,5.954196310386875,12.730876839629298,15.958968973423453,Araneus,variegatus,1112387.0,urn:lsid:nmbe.ch:spidersp:015276,Unknown,Female,2016-09-29,Japan,11.0,0.154,0.044,4.85,1.52,1.2,0.11,27.3,3.6,216.0,285.0,300.0,12.0,42.1,8.0,1.79,0.04,2.2,,,0.0
104,4487-W1_S15,4487.0,DRR296623,macacus,Araneus,Araneidae,15.486043334579406,17.16004739359895,10.503727169345709,13.068840890800436,6.129283016944966,11.580081295673974,15.644746321696251,Araneus,macacus,2337292.0,urn:lsid:nmbe.ch:spidersp:014996,Unknown,Female,2016-10-11,Japan,,0.084,0.025,6.41,1.35,1.04,0.15,17.9,3.8,220.0,281.0,303.0,20.0,35.8,3.5,2.44,0.13,2.6,33.3,2.0,0.0
112,4682-W1_S8,4682.0,DRR297427,clavata,Trichonephila,Araneidae,16.16111931207034,15.81118766700299,8.098032082960527,11.959639695543682,11.959639695543682,7.99009489059644,10.985413285652806,Trichonephila,clavata,70342.0,urn:lsid:nmbe.ch:spidersp:013940,Unknown,Female,2016-11-02,China,,0.092,0.024,9.05,2.08,1.12,0.14,16.9,2.7,239.0,285.0,304.0,15.0,52.6,10.9,2.68,0.03,5.1,,,3.0
113,4683-W1_S9,4683.0,DRR297944,clavata,Trichonephila,Araneidae,15.836124349831609,17.314316392881526,7.588853577286623,12.339593067690178,12.339015052979637,9.66866085286699,11.401510706015475,Trichonephila,clavata,70342.0,urn:lsid:nmbe.ch:spidersp:013940,Unknown,Female,2016-11-02,China,,0.246,0.024,15.7,3.08,2.22,0.15,21.5,1.3,,,,15.0,42.6,4.9,2.26,0.06,,46.0,1.2,3.0
116,4739-W1_S16,4739.0,DRR296787,mulmeinensis,Cyclosa,Araneidae,14.193876236892718,20.1854624670155,16.37999505653329,16.972659509228713,7.361441330192624,11.57615780799945,13.979324651410588,Cyclosa,mulmeinensis,345697.0,urn:lsid:nmbe.ch:spidersp:015662,Unknown,Female,2016-11-07,Japan,4.0,0.088,0.027,3.41,0.03,0.81,0.19,24.5,1.3,235.0,282.0,305.0,15.0,77.9,14.1,0.64,0.05,,31.8,6.8,0.0
120,4781-W1_S22,4781.0,DRR297129,unicolor,Cyrtophora,Araneidae,20.98813416867652,18.498424292601964,8.121676002987593,7.917093521435797,7.245108943927622,13.66816870169178,15.782569163586238,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Unknown,2016-11-28,Japan,5.0,0.085,0.01,4.42,1.17,0.76,0.06,18.5,4.9,,,,16.0,47.8,14.9,0.64,0.02,,,,4.0
126,4910-W1_S25,4910.0,DRR296789,unicolor,Cyrtophora,Araneidae,20.31995115438465,17.56758402334511,8.397853041605693,7.561063054350891,6.712121957250136,9.32415827662737,15.328541743252522,Cyrtophora,unicolor,1485616.0,urn:lsid:nmbe.ch:spidersp:015838,Unknown,Male,2017-01-24,India,8.0,0.126,0.01,7.13,1.53,1.0,0.11,23.2,2.6,,,,,46.1,3.7,2.08,0.11,,,,0.0
127,4911-W1_S27,4911.0,DRR296893,pilipes,Nephila,Araneidae,14.494668063553725,19.65849357254492,8.321957669832559,14.479742515919613,14.477214509626076,13.823521150962724,13.948986410459352,Nephila,pilipes,299642.0,urn:lsid:nmbe.ch:spidersp:013960,Unknown,Female,2017-01-24,India,24.0,0.089,0.026,5.59,1.75,0.98,0.18,19.5,2.9,217.0,276.0,299.0,19.0,34.7,1.4,1.95,0.05,7.3,35.6,9.9,3.0
