Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,MaSp2,MaSp3,MaSp2B,MaSp3B,AcSp,AgSp1,AgSp2,PySp,CySp,Flag,Spidroin,sp.,family,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd
18,2801-W1_S5,2801.0,DRR297599,nitens,Tetragnatha,Tetragnathidae,14.517676979370574,6.599912842187128,8.027565789974542,6.569855608330948,11.730893755202889,17.215644743065468,14.271890904448105,4.459431880945463,11.413541311836875,16.291530033810616,8.660376849671122,13.576474583594692,Tetragnathidae,Tetragnatha,nitens,545214.0,urn:lsid:nmbe.ch:spidersp:014279,Unknown,Female,2015-11-20,Japan,12.0,0.114,0.04,13.7,1.5,1.35,0.15,16.5,4.5,,,,21.0,36.3,12.8,0.81,0.07,,,
20,30-W22_S17,30.0,DRR296742,brevispina,Thelacantha,Araneidae,13.240630319593905,6.4093910040292315,12.52783256555479,6.35755207499345,11.618385502717478,15.396809434290951,11.837510513326134,9.640388999665573,7.960002011232811,9.601771716782599,7.857231705331634,11.400995953534693,Araneidae,Thelacantha,brevispina,1508453.0,urn:lsid:nmbe.ch:spidersp:017085,Unknown,Female,2014-12-08,Japan,,0.09,0.013,3.15,0.7,0.52,0.08,36.1,7.5,,,,,18.7,2.8,4.63,0.48,,,
21,316-W1_S6,316.0,DRR296524,pinguis,Araneus,Araneidae,16.53445301402352,12.784237219619628,7.221302517368585,6.169925001442312,14.937476413143985,13.686991945394151,10.386784689817135,15.704675623031731,18.657156821059555,12.098564176512115,14.559504898900487,13.523001217841621,Araneidae,Araneus,pinguis,2337295.0,urn:lsid:nmbe.ch:spidersp:015114,Unknown,Female,2014-10-09,Japan,,0.121,0.036,4.2,0.7,0.99,0.47,53.2,3.7,227.0,286.0,306.0,23.0,38.1,11.3,2.54,0.25,7.7,,
22,324-W1_S3,324.0,DRR296820,yaginumai,Araniella,Araneidae,15.62010383713046,14.6049620019352,6.984868472728633,6.190660091861382,17.1475802630709,10.190270386448896,9.375039427001457,14.540590661754482,3.6750401894005407,15.968165888221352,11.980054516962726,14.656801183617606,Araneidae,Araniella,yaginumai,1112389.0,urn:lsid:nmbe.ch:spidersp:038307,Unknown,Unknown,2014-10-09,Japan,,0.161,0.078,11.6,3.8,1.2,0.49,24.5,3.6,,,,,51.5,12.7,1.2,0.08,,,
23,327-W1_S13,327.0,DRR297052,mellotteei,Neoscona,Araneidae,16.62744605792106,13.192839896442837,6.442943495848728,5.634268567445277,15.911625664430002,17.119911427493978,13.937524114370586,16.28868486133255,16.48831450664224,16.554561275029563,10.913983146129905,14.925490427922874,Araneidae,Neoscona,mellotteei,1968900.0,urn:lsid:nmbe.ch:spidersp:016721,Unknown,Unknown,2014-10-09,Japan,,0.134,0.06,5.21,2.1,0.87,0.25,27.4,11.2,,,,,41.5,6.8,1.23,0.06,,,
24,329-W1_S5,329.0,DRR296490,sia,Yaginumia,Araneidae,6.9420325377677115,4.523561976619369,4.392317422778761,4.459431640134306,3.4594316186372973,3.9068901860379177,2.5849622602719626,1.999998585368255,3.169925003105884,5.129283222574337,7.475733430966398,6.992062078140899,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Unknown,2014-10-09,Japan,,0.086,0.013,5.48,1.2,0.65,0.14,22.5,5.0,216.0,278.0,301.0,31.0,41.7,13.1,1.91,0.21,4.1,,
25,329-W2_S6,329.0,DRR296798,sia,Yaginumia,Araneidae,13.521228981224201,4.392326353720417,4.807354922057604,3.9068905956085187,13.724300839502174,13.714572175964825,12.518436681580217,13.714349631621692,6.700439856861763,12.403806390403998,9.803107070186119,9.284277247831149,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Unknown,2014-10-09,Japan,,0.086,0.013,5.48,1.2,0.65,0.14,22.5,5.0,216.0,278.0,301.0,31.0,41.7,13.1,1.91,0.21,4.1,,
26,3306-W1_S13,3306.0,DRR296560,exanthematica,Cyrtophora,Araneidae,20.024947929083538,7.807354922057604,8.150046543255552,6.569855608330948,17.88230420463086,4.754887502163468,5.584962500721156,16.099912198096252,19.346452844800925,6.169925001442312,8.562829316612785,16.36615312788532,Araneidae,Cyrtophora,exanthematica,1538126.0,urn:lsid:nmbe.ch:spidersp:015813,Unknown,Female,2016-04-15,Japan,10.0,0.074,0.04,7.1,2.82,0.81,0.29,17.0,3.2,261.0,297.0,314.0,20.0,42.1,4.1,3.19,0.19,4.8,11.2,6.4
27,3366-W1_S6,3366.0,DRR297406,octotuberculata,Cyclosa,Araneidae,16.876686514900502,16.98780835839929,11.921557070054817,5.459431618637297,16.30360311968275,13.075813357482485,10.354616713226251,12.07011698544779,4.0,15.950889695080265,13.257451382735956,14.85561685020833,Araneidae,Cyclosa,octotuberculata,1112407.0,urn:lsid:nmbe.ch:spidersp:015669,Unknown,Female,2016-05-12,Japan,9.0,0.165,0.045,8.85,1.35,1.34,0.17,19.4,3.1,213.0,253.0,295.0,,42.7,13.0,0.97,0.12,5.9,,
30,3393-W1_S6,3393.0,DRR297292,praedonia,Tetragnatha,Tetragnathidae,16.750379554170603,7.509498933275366,8.370864529246514,6.55458884192551,13.145586730846047,16.011968338366053,13.288866708444075,5.807354922057604,16.031788524356923,18.087036979082306,12.33759368903472,14.199898765649829,Tetragnathidae,Tetragnatha,praedonia,1112494.0,urn:lsid:nmbe.ch:spidersp:014321,Unknown,Female,2016-05-12,Japan,7.0,0.077,0.02,8.61,2.3,0.87,0.11,16.6,2.2,,,,,33.7,9.4,1.25,0.09,,,
31,3416-W1_S7,3416.0,DRR296605,latifolius,Takayus,Theridiidae,18.120263774110335,10.4908302136703,8.968666793195208,8.239869525216326,16.228499451919955,16.38206594823641,9.04712363939282,16.031101907530427,11.166163372439886,9.972897859047581,9.79599684713937,16.875540637106422,Theridiidae,Takayus,latifolius,1112489.0,urn:lsid:nmbe.ch:spidersp:008469,Unknown,Female,2016-05-12,Japan,4.0,0.116,0.053,14.9,6.6,1.45,0.55,14.8,2.6,,,,13.0,34.7,11.4,0.47,0.1,,23.9,0.9
32,3469-W1_S8,3469.0,DRR296564,acusisetus,Araneus,Araneidae,17.567453060619933,16.286083366961563,8.625708843064466,7.167217419116357,18.732301875848858,16.55850678445956,15.015983167648212,12.093780120583514,19.132861240793673,18.316207108118597,15.738616927794517,15.951887190756626,Araneidae,Araneus,acusisetus,1112381.0,urn:lsid:nmbe.ch:spidersp:014661,Unknown,Female,2016-05-13,Japan,4.0,0.053,0.017,3.26,0.35,0.5,0.06,19.7,5.3,,,,11.0,39.2,12.7,1.23,0.12,,,
33,3477-W1_S9,3477.0,DRR296942,tepidariorum,Parasteatoda,Theridiidae,18.916131992138297,7.543942248675783,8.912889336229961,6.708983147879101,14.534056147554402,12.146251154797614,8.734709620225837,14.392175363592479,13.081483786754974,11.349181759378364,9.223759803296465,13.730054360147443,Theridiidae,Parasteatoda,tepidariorum,114398.0,urn:lsid:nmbe.ch:spidersp:006870,Unknown,Female,2016-05-14,Japan,8.0,0.144,0.034,9.46,1.49,0.79,0.17,18.8,2.4,,,,10.0,40.1,7.6,2.43,0.17,,39.1,2.2
34,3480-W1_S10,3480.0,DRR297183,abrupta,Enoplognatha,Theridiidae,11.927012309442171,7.492736957138537,8.918863237274595,6.894817763307944,10.883637100035223,14.03091473038043,8.558421095946343,16.453616774657252,18.843268221853364,10.387820613226745,8.963836828757517,19.058064480858285,Theridiidae,Enoplognatha,abrupta,2337400.0,urn:lsid:nmbe.ch:spidersp:008013,Unknown,Female,2016-05-14,Japan,7.0,0.074,0.022,10.0,2.4,0.81,0.04,14.2,3.6,,,,18.0,39.7,4.3,1.37,0.06,,10.8,6.7
35,3534-W1_S7,3534.0,DRR297205,sia,Yaginumia,Araneidae,16.250574008018173,5.809041373926177,6.930737337562887,5.410460170891247,14.982724508647971,15.169142764482116,12.836691018383272,15.008123908108068,16.679901462572644,15.869516196291704,13.842229748022259,12.498006673918761,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Female,2016-05-17,Japan,10.0,0.106,0.036,10.1,2.7,0.97,0.11,16.7,3.5,,,,9.0,52.3,8.0,0.87,0.04,,,
36,3541-W1_S21,3541.0,DRR297501,culicivora,Parasteatoda,Theridiidae,18.13847909337881,7.279350474161854,7.569855608330948,6.8507461710168185,12.579294206468694,11.366883418481718,5.584962500721156,13.128798891734025,14.766892383965079,12.1345709201125,10.656064001980502,18.031146899754273,Theridiidae,Parasteatoda,culicivora,1112456.0,urn:lsid:nmbe.ch:spidersp:006770,Unknown,Female,2016-05-18,Japan,4.0,0.181,0.042,16.6,4.2,1.84,0.36,17.9,2.2,,,,2.0,88.5,19.2,0.57,0.06,,,
37,3545-W1_S22,3545.0,DRR297415,argenteoalba,Cyclosa,Araneidae,19.209996755964635,12.939579508201376,14.793038835360464,6.475733430966398,16.55184212670951,15.69910756694322,12.630852625700614,16.01092224282899,17.360410575053457,15.855745887979458,13.029672381999061,14.876054432235552,Araneidae,Cyclosa,argenteoalba,345692.0,urn:lsid:nmbe.ch:spidersp:015571,Unknown,Female,2016-05-18,Japan,6.0,0.142,0.028,15.9,8.5,1.46,0.33,17.9,5.8,,,,,63.1,10.3,0.6,0.04,,,
40,3590-W1_S13,3590.0,DRR296546,sachalinensis,Plebs,Araneidae,18.052930960516328,8.091618421984029,12.450337212534107,7.481444263017752,18.236209944092074,15.900163399504285,14.112744152754223,16.7612561205138,15.560272885824267,18.34947171638466,13.736502892567442,16.44933158804585,Araneidae,Plebs,sachalinensis,2337611.0,urn:lsid:nmbe.ch:spidersp:015887,Unknown,Female,2016-05-19,Japan,5.0,0.215,0.054,8.11,1.27,2.12,0.34,19.8,2.3,,,,,51.8,10.7,0.41,0.06,,,
42,3605-W1_S15,3605.0,DRR296536,cylindrogaster,Ariamnes,Theridiidae,12.534157720917287,8.405141463676934,9.262094845370179,7.994353437577524,11.243768933454037,9.816983986328255,8.618385127818623,15.055458848095302,17.218591458934544,11.005415772415402,10.380706171682704,18.31688382287509,Theridiidae,Ariamnes,cylindrogaster,1112391.0,urn:lsid:nmbe.ch:spidersp:007025,Unknown,Female,2016-05-19,Japan,27.0,0.093,0.033,7.05,1.41,0.79,0.14,20.6,3.7,,,,27.0,35.6,6.2,1.26,0.05,,,
44,3630-W1_S17,3630.0,DRR296662,ocula,Argiope,Araneidae,17.900701467589155,10.320800548881637,8.836050355982714,7.022367813028454,19.399633850337107,15.818736470656722,13.800139081040902,16.37859158186461,11.99152098462494,17.981400459023394,14.210957220559358,14.731605189854617,Araneidae,Argiope,ocula,716557.0,urn:lsid:nmbe.ch:spidersp:015393,Unknown,Female,2016-06-20,Japan,10.0,0.096,0.032,7.2,0.3,1.01,0.13,19.7,2.8,,,,4.0,32.6,1.2,4.46,0.08,,,
45,3631-W1_S18,3631.0,DRR297930,laticauda,Cyclosa,Araneidae,18.090781225340663,17.397562421012562,10.501746085286403,7.357552004618084,16.70761014710462,15.57828460324843,14.463573827833288,14.25223479872167,14.091379494669775,16.567023767364553,13.003644861519062,14.647435180341276,Araneidae,Cyclosa,laticauda,1112405.0,urn:lsid:nmbe.ch:spidersp:015644,Unknown,Female,2016-06-20,Japan,7.0,0.103,0.03,8.02,2.02,0.94,0.11,21.9,2.1,,,,27.0,36.3,4.2,1.96,0.12,,35.5,6.9
46,3653-W1_S8,3653.0,DRR296802,aetheroides,Argiope,Araneidae,16.668486639335754,5.169925001442312,7.459431618637297,5.169925001442312,19.04161886227006,16.026919449138692,12.373268107054855,13.570850673652327,16.456023821015595,17.03047459289674,14.734271245437851,17.371257054777516,Araneidae,Argiope,aetheroides,716551.0,urn:lsid:nmbe.ch:spidersp:015343,Unknown,Female,2016-06-20,Japan,15.0,0.112,0.038,7.06,1.08,0.89,0.13,24.3,5.2,217.0,278.0,298.0,30.0,39.9,9.8,2.87,0.34,3.0,36.7,7.2
47,3656-W1_S19,3656.0,DRR297961,nautica,Neoscona,Araneidae,17.59638079696158,14.745227247189858,8.909893083770042,7.118941072723508,16.482442958842867,16.09577505950087,15.705979285656781,17.293123063048473,19.30921395891432,16.54621793744633,15.018480027116611,14.740601740826062,Araneidae,Neoscona,nautica,258338.0,urn:lsid:nmbe.ch:spidersp:016729,Unknown,Female,2016-06-21,Japan,8.0,0.05,0.014,6.33,0.26,0.7,0.08,13.1,1.5,210.0,273.0,291.0,21.0,34.3,9.5,2.09,0.31,2.4,31.6,11.5
48,3681-W1_S20,3681.0,DRR296576,subpullata,Neoscona,Araneidae,14.357962627051107,15.813227794513171,8.682994583681683,7.312882955284356,18.2959366494194,17.488131715910892,14.48132949931423,15.896910233580718,11.875188205603713,16.902228368852587,12.490490297816311,14.77706933442633,Araneidae,Neoscona,subpullata,1112447.0,urn:lsid:nmbe.ch:spidersp:016761,Unknown,Female,2016-06-21,Japan,5.0,0.083,0.017,6.31,0.54,0.8,0.02,18.6,3.7,,,,20.0,51.7,11.0,1.16,0.11,,,
49,3737-W1_S21,3737.0,DRR296901,ryukyu,Parasteatoda,Theridiidae,18.868064611742934,7.834073487755552,8.729971433855354,7.110479238264776,13.99764775904157,12.424998434221132,8.632995211351869,14.880313490825628,13.335947396835106,12.468197124597076,10.047376298802751,14.955263984857545,Theridiidae,Parasteatoda,ryukyu,2337566.0,urn:lsid:nmbe.ch:spidersp:037042,Unknown,Female,2016-06-21,Japan,3.0,0.058,0.015,5.74,2.12,0.62,0.09,15.2,1.4,,,,5.0,30.1,18.7,1.26,0.32,,,
52,3767-W1_S24,3767.0,DRR296956,confusa,Cyclosa,Araneidae,16.566804528077697,10.342941269547815,13.542440647442227,6.879949788486957,15.933098966846508,15.13257730031959,15.710955053411427,15.357550022560464,17.99194283359514,15.592922043549873,9.316632685152884,14.574460799340807,Araneidae,Cyclosa,confusa,1112402.0,urn:lsid:nmbe.ch:spidersp:015594,Unknown,Female,2016-06-22,Japan,8.0,0.05,0.017,5.29,2.08,0.64,0.16,16.3,0.9,,,,,37.9,6.5,1.17,0.05,,,
53,3793-W1_S12,3793.0,DRR297109,zilloides,Metazygia,Araneidae,15.216098849498522,5.459431623255889,6.554588851677638,5.357552009574621,14.771233075353303,14.554286855018713,9.951284714966972,15.140989344352965,13.57080449226425,15.211627002465312,13.382086981123472,12.82449737318499,Araneidae,Metazygia,zilloides,2337760.0,urn:lsid:nmbe.ch:spidersp:016493,Unknown,Female,2016-06-30,United States,,0.31,0.076,19.0,6.28,2.52,0.25,23.6,5.0,,,,6.0,61.6,10.5,0.36,0.03,,,
54,3796-W1_S21,3796.0,DRR297908,cancriformis,Gasteracantha,Araneidae,17.92377949415641,9.232929078869597,13.709600132148106,6.26105874055119,17.29442037209737,14.438073967360067,11.167719198601075,14.696754091115453,16.692878372992364,15.581942011830721,14.463295331862676,17.63260354702146,Araneidae,Gasteracantha,cancriformis,472970.0,urn:lsid:nmbe.ch:spidersp:016007,Unknown,Female,2016-06-30,United States,,0.147,0.048,8.62,1.5,1.03,0.18,26.9,4.3,239.0,289.0,308.0,24.0,31.1,4.8,2.56,0.24,5.6,,
55,3798-W1_S22,3798.0,DRR297871,sagittata,Micrathena,Araneidae,19.37826456429043,6.94251450533924,9.681003941602063,6.459431618637297,13.42992978002111,12.185496472830732,9.727920452861907,6.1292820576554945,17.6140793117928,14.76270747029063,11.252824287505378,13.483641493774378,Araneidae,Micrathena,sagittata,1481434.0,urn:lsid:nmbe.ch:spidersp:016617,Unknown,Female,2016-06-30,United States,,0.141,0.031,15.5,3.5,1.04,0.1,20.8,5.3,253.0,282.0,296.0,21.0,43.2,9.5,0.95,0.03,4.9,43.9,7.3
56,3799-W1_S24,3799.0,DRR297777,argyra,Leucauge,Tetragnathidae,15.777390953858008,6.950941808269636,8.308339030139408,6.35262789139422,10.712527725226243,13.685078110643381,12.116019207828057,14.246199924407115,15.878457018212499,14.439050915275727,9.414603411011178,11.608640411521321,Tetragnathidae,Leucauge,argyra,472971.0,urn:lsid:nmbe.ch:spidersp:013682,Unknown,Female,2016-06-30,United States,9.0,0.171,0.057,11.9,2.4,1.19,0.25,26.3,5.6,,,,12.0,44.3,4.2,1.37,0.05,,,
57,3801-W1_S1,3801.0,DRR297299,sagittata,Micrathena,Araneidae,20.174207572016737,8.059555373641276,11.577116948429719,7.881352605227182,14.65178047094548,13.625818637680743,12.116343928195203,6.777524514364618,10.74986945363532,16.51917080720026,13.400047065586705,15.58388259682456,Araneidae,Micrathena,sagittata,1481434.0,urn:lsid:nmbe.ch:spidersp:016617,Unknown,Female,2016-06-30,United States,,0.153,0.038,9.54,1.9,1.1,0.08,24.5,7.9,,,,13.0,32.1,7.9,1.67,0.06,,,
58,3819-W1_S13,3819.0,DRR297616,bicentenarius,Araneus,Araneidae,15.981835821183068,12.486249633609109,11.949221384885856,5.491853096329675,18.414366457094232,16.61707743409972,15.443160821513226,15.870774443962903,18.087727735171505,15.966599079935193,12.464713341818042,14.682744414209097,Araneidae,Araneus,bicentenarius,29013.0,urn:lsid:nmbe.ch:spidersp:014742,Unknown,Female,2016-07-01,United States,22.0,0.112,0.067,7.93,2.7,1.23,0.43,18.4,4.3,243.0,292.0,309.0,23.0,40.8,3.8,5.37,0.13,8.6,55.7,4.5
