Orthogroup,ID,idv_id,DRR,species_x,Genus,Family,OG0000264,OG0000282,OG0003351,OG0004409,OG0004717,OG0007747,OG0008243,OG0008312,OG0008607,OG0009194,OG0009245,OG0009741,OG0010802,family,genus,species_y,ncbi_tax_id,wsc_lsid,type_of_web,sex,sampled_at,country,size,toughness,toughness_sd,young's_modulus,young's_modulus_sd,tensile_strength,tensile_strength_sd,strain_at_break,strain_at_break_sd,one_percent_weightloss,five_percent_weightloss,ten_percent_weightloss,crystallinity,birefringence,birefringence_sd,diameter,diameter_sd,water_content,supercontraction,supercontraction_sd
24,329-W1_S5,329.0,DRR296490,sia,Yaginumia,Araneidae,11.80950401900885,8.20793676417435,0.0,7.756789803405594,0.0,9.564488683552751,3.3768946215209454,0.0,0.0,0.0,0.0,0.0,0.0,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Unknown,2014-10-09,Japan,,0.086,0.013,5.48,1.2,0.65,0.14,22.5,5.0,216.0,278.0,301.0,31.0,41.7,13.1,1.91,0.21,4.1,,
25,329-W2_S6,329.0,DRR296798,sia,Yaginumia,Araneidae,9.213750480037705,13.641573525729216,0.0,9.531556912757514,6.884641875145702,8.699086557146888,8.505287802234081,3.924090381689537,0.0,0.0,6.44365140349992,5.466424828400338,10.307166648632808,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Unknown,2014-10-09,Japan,,0.086,0.013,5.48,1.2,0.65,0.14,22.5,5.0,216.0,278.0,301.0,31.0,41.7,13.1,1.91,0.21,4.1,,
26,3306-W1_S13,3306.0,DRR296560,exanthematica,Cyrtophora,Araneidae,6.639736757741489,8.469343073148437,0.0,8.889686475224263,5.853824778465,8.724547958982551,0.0,5.19053742981074,7.80529890540318,0.0,0.0,3.879891971695763,0.0,Araneidae,Cyrtophora,exanthematica,1538126.0,urn:lsid:nmbe.ch:spidersp:015813,Unknown,Female,2016-04-15,Japan,10.0,0.074,0.04,7.1,2.82,0.81,0.29,17.0,3.2,261.0,297.0,314.0,20.0,42.1,4.1,3.19,0.19,4.8,11.2,6.4
27,3366-W1_S6,3366.0,DRR297406,octotuberculata,Cyclosa,Araneidae,8.517831204960682,13.176973317416493,0.0,0.0,7.149979760721344,9.62926371627133,8.017644696902302,5.993678889976501,0.0,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,octotuberculata,1112407.0,urn:lsid:nmbe.ch:spidersp:015669,Unknown,Female,2016-05-12,Japan,9.0,0.165,0.045,8.85,1.35,1.34,0.17,19.4,3.1,213.0,253.0,295.0,,42.7,13.0,0.97,0.12,5.9,,
32,3469-W1_S8,3469.0,DRR296564,acusisetus,Araneus,Araneidae,7.382800121882714,12.051666036933579,8.267944822027914,10.544587776485942,5.766831263143877,7.4513265228192225,9.446364758828759,3.5963710695225495,10.72792896099473,6.12158531874543,6.475932800886691,4.114115447647366,9.04778374645434,Araneidae,Araneus,acusisetus,1112381.0,urn:lsid:nmbe.ch:spidersp:014661,Unknown,Female,2016-05-13,Japan,4.0,0.053,0.017,3.26,0.35,0.5,0.06,19.7,5.3,,,,11.0,39.2,12.7,1.23,0.12,,,
35,3534-W1_S7,3534.0,DRR297205,sia,Yaginumia,Araneidae,8.498811901365478,12.401713727927774,0.0,9.757904987076992,4.668464662787341,9.701174750453253,10.457751253226224,2.745196449811836,0.0,0.0,7.783288028868236,4.2625985258675065,8.530254158399591,Araneidae,Yaginumia,sia,1112568.0,urn:lsid:nmbe.ch:spidersp:017156,Unknown,Female,2016-05-17,Japan,10.0,0.106,0.036,10.1,2.7,0.97,0.11,16.7,3.5,,,,9.0,52.3,8.0,0.87,0.04,,,
37,3545-W1_S22,3545.0,DRR297415,argenteoalba,Cyclosa,Araneidae,7.316360012221795,12.183749471438603,0.0,10.192280483691226,4.196966571519055,0.0,0.0,3.949460228427057,9.6273441876982,0.0,0.0,0.0,0.0,Araneidae,Cyclosa,argenteoalba,345692.0,urn:lsid:nmbe.ch:spidersp:015571,Unknown,Female,2016-05-18,Japan,6.0,0.142,0.028,15.9,8.5,1.46,0.33,17.9,5.8,,,,,63.1,10.3,0.6,0.04,,,
40,3590-W1_S13,3590.0,DRR296546,sachalinensis,Plebs,Araneidae,9.450315748949281,15.1555256209582,7.3643550837212155,10.679515286760259,5.356150150179786,0.0,8.32347464624884,5.033523876534186,10.554131414141489,7.352962775284772,7.529296757987461,0.0,0.0,Araneidae,Plebs,sachalinensis,2337611.0,urn:lsid:nmbe.ch:spidersp:015887,Unknown,Female,2016-05-19,Japan,5.0,0.215,0.054,8.11,1.27,2.12,0.34,19.8,2.3,,,,,51.8,10.7,0.41,0.06,,,
44,3630-W1_S17,3630.0,DRR296662,ocula,Argiope,Araneidae,5.522448769741457,10.973188157908904,8.431984173217193,9.861128124600043,9.277616357544431,8.183848730741875,2.6428032153010776,6.249606516465241,10.079452289488469,0.0,0.0,1.9027948430075075,0.0,Araneidae,Argiope,ocula,716557.0,urn:lsid:nmbe.ch:spidersp:015393,Unknown,Female,2016-06-20,Japan,10.0,0.096,0.032,7.2,0.3,1.01,0.13,19.7,2.8,,,,4.0,32.6,1.2,4.46,0.08,,,
45,3631-W1_S18,3631.0,DRR297930,laticauda,Cyclosa,Araneidae,9.889553137408079,13.426514270349946,0.0,9.45359229238946,5.075832091938703,7.515116335420179,7.842463491528911,6.181402749605709,0.0,1.8046401026501324,0.0,0.0,0.0,Araneidae,Cyclosa,laticauda,1112405.0,urn:lsid:nmbe.ch:spidersp:015644,Unknown,Female,2016-06-20,Japan,7.0,0.103,0.03,8.02,2.02,0.94,0.11,21.9,2.1,,,,27.0,36.3,4.2,1.96,0.12,,35.5,6.9
46,3653-W1_S8,3653.0,DRR296802,aetheroides,Argiope,Araneidae,3.9108909276110673,11.067566288042919,4.685362730698467,8.340313015874948,7.954381696422722,9.56301318231267,0.0,6.06244123899999,9.723674594919416,0.0,0.0,3.0098032727297936,0.0,Araneidae,Argiope,aetheroides,716551.0,urn:lsid:nmbe.ch:spidersp:015343,Unknown,Female,2016-06-20,Japan,15.0,0.112,0.038,7.06,1.08,0.89,0.13,24.3,5.2,217.0,278.0,298.0,30.0,39.9,9.8,2.87,0.34,3.0,36.7,7.2
47,3656-W1_S19,3656.0,DRR297961,nautica,Neoscona,Araneidae,6.156314091304372,15.137525480886806,0.0,0.0,5.23977608078967,9.031971316671685,7.8200985267326,3.7085545411413126,0.0,7.874109063197668,3.2793133482933845,2.7967514007785845,9.219872751669534,Araneidae,Neoscona,nautica,258338.0,urn:lsid:nmbe.ch:spidersp:016729,Unknown,Female,2016-06-21,Japan,8.0,0.05,0.014,6.33,0.26,0.7,0.08,13.1,1.5,210.0,273.0,291.0,21.0,34.3,9.5,2.09,0.31,2.4,31.6,11.5
48,3681-W1_S20,3681.0,DRR296576,subpullata,Neoscona,Araneidae,6.891665488499402,10.46004878180183,2.081278263881494,8.665048557728687,5.2021246076374,0.0,10.504815512451337,2.665874801710654,0.0,7.952471433617687,5.658343461884899,5.595090055694564,7.500387792271921,Araneidae,Neoscona,subpullata,1112447.0,urn:lsid:nmbe.ch:spidersp:016761,Unknown,Female,2016-06-21,Japan,5.0,0.083,0.017,6.31,0.54,0.8,0.02,18.6,3.7,,,,20.0,51.7,11.0,1.16,0.11,,,
52,3767-W1_S24,3767.0,DRR296956,confusa,Cyclosa,Araneidae,6.836920508076533,13.69971318726658,2.8427857892933126,10.095498100215899,4.03321682458304,0.0,6.039131154087037,4.429579143208775,8.755602327377668,1.8231203875015294,0.0,0.0,0.0,Araneidae,Cyclosa,confusa,1112402.0,urn:lsid:nmbe.ch:spidersp:015594,Unknown,Female,2016-06-22,Japan,8.0,0.05,0.017,5.29,2.08,0.64,0.16,16.3,0.9,,,,,37.9,6.5,1.17,0.05,,,
53,3793-W1_S12,3793.0,DRR297109,zilloides,Metazygia,Araneidae,8.242238309026286,11.166573231884716,0.0,8.971115280107998,2.2731727052893174,9.471849952786293,0.0,5.142858595007492,8.246963813049572,7.437979723496682,0.0,6.856413078129167,0.0,Araneidae,Metazygia,zilloides,2337760.0,urn:lsid:nmbe.ch:spidersp:016493,Unknown,Female,2016-06-30,United States,,0.31,0.076,19.0,6.28,2.52,0.25,23.6,5.0,,,,6.0,61.6,10.5,0.36,0.03,,,
54,3796-W1_S21,3796.0,DRR297908,cancriformis,Gasteracantha,Araneidae,8.97482594303776,10.420546445795992,4.632291135553177,9.321452377942794,4.0440259665635,10.057463810925187,0.0,4.784802332402222,11.485733729504592,1.3728574005348733,0.0,0.0,0.0,Araneidae,Gasteracantha,cancriformis,472970.0,urn:lsid:nmbe.ch:spidersp:016007,Unknown,Female,2016-06-30,United States,,0.147,0.048,8.62,1.5,1.03,0.18,26.9,4.3,239.0,289.0,308.0,24.0,31.1,4.8,2.56,0.24,5.6,,
55,3798-W1_S22,3798.0,DRR297871,sagittata,Micrathena,Araneidae,9.916718272635809,11.54325779899369,0.0,0.0,5.471060617330019,8.719297772545774,1.8173899517902314,0.0,0.0,0.0,0.0,4.622350580183076,0.0,Araneidae,Micrathena,sagittata,1481434.0,urn:lsid:nmbe.ch:spidersp:016617,Unknown,Female,2016-06-30,United States,,0.141,0.031,15.5,3.5,1.04,0.1,20.8,5.3,253.0,282.0,296.0,21.0,43.2,9.5,0.95,0.03,4.9,43.9,7.3
57,3801-W1_S1,3801.0,DRR297299,sagittata,Micrathena,Araneidae,11.216676443496356,9.891377884370009,3.937600796165416,9.587100537622591,6.681744408504366,8.498797360304955,0.0,0.0,2.736613533623096,2.3929520689848225,0.0,4.231785665727006,0.0,Araneidae,Micrathena,sagittata,1481434.0,urn:lsid:nmbe.ch:spidersp:016617,Unknown,Female,2016-06-30,United States,,0.153,0.038,9.54,1.9,1.1,0.08,24.5,7.9,,,,13.0,32.1,7.9,1.67,0.06,,,
58,3819-W1_S13,3819.0,DRR297616,bicentenarius,Araneus,Araneidae,5.927069415965534,11.15663577801619,0.0,9.385592813601363,5.864525416725312,0.0,8.270928244539748,3.0098380207425794,9.826956769409561,0.0,6.948394099339303,4.288041045747334,10.4284125191799,Araneidae,Araneus,bicentenarius,29013.0,urn:lsid:nmbe.ch:spidersp:014742,Unknown,Female,2016-07-01,United States,22.0,0.112,0.067,7.93,2.7,1.23,0.43,18.4,4.3,243.0,292.0,309.0,23.0,40.8,3.8,5.37,0.13,8.6,55.7,4.5
59,3830-W1_S2,3830.0,DRR297130,clavipes,Trichonephila,Araneidae,13.390313414665272,4.0611782623362815,6.91170356433953,2.7372129951516904,0.0,7.647069817850873,0.0,0.0,8.618549218665773,2.1506668999248992,0.0,0.0,0.0,Araneidae,Trichonephila,clavipes,6915.0,urn:lsid:nmbe.ch:spidersp:013943,Unknown,Male,2016-07-01,United States,6.0,0.131,0.036,10.4,2.86,1.56,0.24,17.1,3.2,,,,12.0,58.9,12.6,0.8,0.04,,,
62,3857-W1_S14,3857.0,DRR297931,-,Neoscona,Araneidae,11.920246852889893,12.789613133647102,0.0,10.954116320037073,9.405801845001452,0.0,9.583825930793287,5.288380711896313,0.0,7.627983220380206,4.129367103005437,4.453807274371678,10.155969274645543,Araneidae,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Female,2016-07-01,United States,10.0,0.13,0.014,6.84,1.52,0.97,0.13,30.8,4.3,248.0,294.0,309.0,22.0,30.6,7.9,2.07,0.41,3.8,,
63,3860-W1_S15,3860.0,DRR296658,-,Neoscona,Araneidae,6.223194118008489,11.945499480023296,4.7783331769665045,0.0,7.961653943562093,0.0,9.789268882061833,4.918545570932775,0.0,0.0,4.795785646185655,5.821192323127896,0.0,Araneidae,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Male,2016-07-01,United States,10.0,0.087,0.028,24.1,9.16,1.68,0.36,8.7,0.5,203.0,273.0,297.0,25.0,28.3,7.3,1.28,0.17,8.1,,
64,3868-W1_S16,3868.0,DRR297713,lemniscata,Mecynogea,Araneidae,4.9012159100123025,9.68018368159249,8.418257425088076,7.989173075646102,5.21131869467159,7.889990610279122,1.2655929195216213,7.130312115782174,0.0,0.0,0.0,0.0,0.0,Araneidae,Mecynogea,lemniscata,329906.0,urn:lsid:nmbe.ch:spidersp:016398,Unknown,Female,2016-07-02,United States,7.0,0.077,0.051,7.63,3.58,1.01,0.33,11.2,2.2,215.0,285.0,316.0,24.0,54.6,7.9,0.69,0.02,4.5,,
65,3875-W1_S1,3875.0,DRR297497,lemniscata,Mecynogea,Araneidae,6.569353007331797,9.490325435548238,0.0,0.0,8.515166415531843,7.800479322130618,0.0,7.571166202447459,0.0,0.0,0.0,0.0,0.0,Araneidae,Mecynogea,lemniscata,329906.0,urn:lsid:nmbe.ch:spidersp:016398,Unknown,Unknown,2016-07-02,United States,6.0,0.152,0.005,7.76,2.11,1.4,0.16,17.6,3.2,,,,9.0,28.4,7.4,0.75,0.03,,,
67,3883-W1_S18,3883.0,DRR297535,cornutus,Larinioides,Araneidae,7.024489233775816,11.228238712717541,8.718950640609473,10.248413866461675,6.701945161518332,9.389349547969747,8.268339880181232,3.618983307567405,10.180717270310197,7.660771778788514,6.119766597768102,4.222915818583526,0.0,Araneidae,Larinioides,cornutus,336591.0,urn:lsid:nmbe.ch:spidersp:016288,Unknown,Female,2016-07-02,United States,14.0,0.139,0.017,15.4,3.09,1.82,0.12,15.3,1.3,224.0,281.0,300.0,24.0,36.5,0.8,2.84,0.02,9.9,34.1,3.4
68,3897-W1_S20,3897.0,DRR296775,anastera,Eustala,Araneidae,9.274072295105507,14.070678535641811,0.0,10.211328624688331,3.29497944833668,9.573461632104324,8.792656981168248,3.861961317482136,8.601975016492933,8.489538921728412,0.0,5.00626794873694,0.0,Araneidae,Eustala,anastera,336652.0,urn:lsid:nmbe.ch:spidersp:015911,Unknown,Female,2016-07-02,United States,7.0,0.025,0.008,4.21,0.52,0.45,0.17,9.9,1.3,,,,,40.9,5.8,1.25,0.08,,,
69,3899-W1_S21,3899.0,DRR297394,-,Neoscona,Araneidae,7.270117827849996,12.403925884895571,0.0,10.424124288351107,7.75779789351909,0.0,10.586502769558646,5.169238876895721,0.0,8.036289023540379,4.297264796949936,6.042453920612574,10.359310316890442,Araneidae,Neoscona,sp. (OTU0133),2337506.0,,Unknown,Female,2016-07-02,United States,11.0,0.046,0.008,4.23,0.31,0.59,0.05,17.0,0.6,227.0,278.0,297.0,20.0,33.4,5.0,2.07,0.02,12.3,,
70,3900-W1_S22,3900.0,DRR297665,anastera,Eustala,Araneidae,11.898427921048158,13.39844917843299,0.0,10.72592005104704,2.8201503635751664,11.033216494147606,6.642679769531666,2.327247591296385,10.813925453508132,6.878042327057688,0.0,5.880839776667681,0.0,Araneidae,Eustala,anastera,336652.0,urn:lsid:nmbe.ch:spidersp:015911,Unknown,Female,2016-07-02,United States,9.0,0.106,0.019,8.17,1.19,0.91,0.07,18.0,3.7,,,,12.0,37.4,9.6,1.19,0.14,,,
75,3959-W1_S4,3959.0,DRR297125,labyrinthea,Metepeira,Araneidae,9.392396940563966,8.86556437441448,10.640531367722902,10.319152747565262,9.299680366429968,8.185024066689756,9.47022772951895,5.574729749159297,0.0,9.937615107496278,4.937296835165647,0.0,0.0,Araneidae,Metepeira,labyrinthea,472973.0,urn:lsid:nmbe.ch:spidersp:016515,Unknown,Unknown,2016-07-04,United States,4.0,0.126,0.042,4.04,1.51,1.26,0.15,20.3,2.5,263.0,292.0,307.0,10.0,61.7,11.3,0.7,0.03,15.6,,
78,4023-W1_S4,4023.0,DRR296634,punctigera,Neoscona,Araneidae,6.3214681625374665,12.195406652027776,6.192395402470589,8.804934446346701,7.639291285324779,10.085963675283729,11.038212554056583,3.0317498269803935,0.0,7.784166957016282,5.399739444724579,5.373138689257513,0.0,Araneidae,Neoscona,punctigera,1112444.0,urn:lsid:nmbe.ch:spidersp:016743,Unknown,Unknown,2016-07-13,Japan,6.0,0.162,0.054,4.25,1.48,1.08,0.15,32.7,6.2,,,,,35.1,1.9,1.85,0.05,,,
