lascID,geneName,product,Group,aa_len,tx_len,gene_id,tx_name
LASC000400,LASC000400,hypothetical protein,NA,116,348,augustus_masked-000001F-processed-gene-51.6,augustus_masked-000001F-processed-gene-51.6-mRNA-1
LASC000401,ncl-1_2,B-box type zinc finger protein ncl-1,NA,761,2283,augustus_masked-000001F-processed-gene-51.7,augustus_masked-000001F-processed-gene-51.7-mRNA-1
LASC000417,LASC000417,hypothetical protein,NA,95,285,augustus_masked-000001F-processed-gene-58.11,augustus_masked-000001F-processed-gene-58.11-mRNA-1
LASC000413,LASC000413,hypothetical protein,NA,74,222,augustus_masked-000001F-processed-gene-58.8,augustus_masked-000001F-processed-gene-58.8-mRNA-1
LASC000414,LASC000414,hypothetical protein,NA,92,276,augustus_masked-000001F-processed-gene-58.9,augustus_masked-000001F-processed-gene-58.9-mRNA-1
LASC000285,LASC000285,hypothetical protein,NA,167,501,augustus_masked-000001F-processed-gene-6.10,augustus_masked-000001F-processed-gene-6.10-mRNA-1
LASC000441,LASC000441,hypothetical protein,NA,117,374,augustus_masked-000001F-processed-gene-67.3,augustus_masked-000001F-processed-gene-67.3-mRNA-1
LASC000456,arl1,ADP-ribosylation factor-like protein 1,NA,146,730,augustus_masked-000001F-processed-gene-75.8,augustus_masked-000001F-processed-gene-75.8-mRNA-1
LASC000290,LASC000290,hypothetical protein,NA,211,633,augustus_masked-000001F-processed-gene-8.4,augustus_masked-000001F-processed-gene-8.4-mRNA-1
LASC000483,LASC000483,hypothetical protein,NA,139,417,augustus_masked-000001F-processed-gene-84.15,augustus_masked-000001F-processed-gene-84.15-mRNA-1
LASC000496,LASC000496,hypothetical protein,NA,158,474,augustus_masked-000001F-processed-gene-88.6,augustus_masked-000001F-processed-gene-88.6-mRNA-1
LASC000505,LASC000505,hypothetical protein,NA,101,303,augustus_masked-000001F-processed-gene-91.0,augustus_masked-000001F-processed-gene-91.0-mRNA-1
LASC000506,eag_5,Potassium voltage-gated channel protein eag,NA,583,4011,augustus_masked-000001F-processed-gene-91.3,augustus_masked-000001F-processed-gene-91.3-mRNA-1
LASC000552,LASC000552,hypothetical protein,NA,152,456,augustus_masked-000002F-processed-gene-19.12,augustus_masked-000002F-processed-gene-19.12-mRNA-1
LASC000553,LASC000553,hypothetical protein,NA,176,528,augustus_masked-000002F-processed-gene-19.13,augustus_masked-000002F-processed-gene-19.13-mRNA-1
LASC000554,LASC000554,hypothetical protein,NA,175,525,augustus_masked-000002F-processed-gene-19.14,augustus_masked-000002F-processed-gene-19.14-mRNA-1
LASC000555,LASC000555,hypothetical protein,NA,223,669,augustus_masked-000002F-processed-gene-19.15,augustus_masked-000002F-processed-gene-19.15-mRNA-1
LASC000556,LASC000556,hypothetical protein,NA,213,639,augustus_masked-000002F-processed-gene-19.16,augustus_masked-000002F-processed-gene-19.16-mRNA-1
LASC000557,LASC000557,hypothetical protein,NA,214,928,augustus_masked-000002F-processed-gene-19.17,augustus_masked-000002F-processed-gene-19.17-mRNA-1
LASC000561,LASC000561,hypothetical protein,NA,127,381,augustus_masked-000002F-processed-gene-20.3,augustus_masked-000002F-processed-gene-20.3-mRNA-1
LASC000566,cebpa,CCAAT/enhancer-binding protein alpha,NA,241,723,augustus_masked-000002F-processed-gene-22.5,augustus_masked-000002F-processed-gene-22.5-mRNA-1
LASC000574,LASC000574,hypothetical protein,NA,68,204,augustus_masked-000002F-processed-gene-23.12,augustus_masked-000002F-processed-gene-23.12-mRNA-1
LASC000581,tmem169,Transmembrane protein 169,NA,341,1023,augustus_masked-000002F-processed-gene-28.4,augustus_masked-000002F-processed-gene-28.4-mRNA-1
LASC000595,ydr541c_2,Putative uncharacterized oxidoreductase YDR541C,NA,356,1068,augustus_masked-000002F-processed-gene-36.4,augustus_masked-000002F-processed-gene-36.4-mRNA-1
LASC000597,LASC000597,hypothetical protein,NA,71,213,augustus_masked-000002F-processed-gene-39.6,augustus_masked-000002F-processed-gene-39.6-mRNA-1
LASC000529,LASC000529,hypothetical protein,NA,86,258,augustus_masked-000002F-processed-gene-4.9,augustus_masked-000002F-processed-gene-4.9-mRNA-1
LASC000534,LASC000534,hypothetical protein,NA,3969,11970,augustus_masked-000002F-processed-gene-5.5,augustus_masked-000002F-processed-gene-5.5-mRNA-1
LASC000609,LASC000609,hypothetical protein,NA,188,564,augustus_masked-000002F-processed-gene-51.2,augustus_masked-000002F-processed-gene-51.2-mRNA-1
LASC000628,nipbl,Nipped-B-like protein,NA,2240,6720,augustus_masked-000002F-processed-gene-69.1,augustus_masked-000002F-processed-gene-69.1-mRNA-1
LASC000632,LASC000632,hypothetical protein,NA,123,369,augustus_masked-000002F-processed-gene-73.7,augustus_masked-000002F-processed-gene-73.7-mRNA-1
LASC000649,LASC000649,hypothetical protein,NA,658,1974,augustus_masked-000002F-processed-gene-79.10,augustus_masked-000002F-processed-gene-79.10-mRNA-1
LASC000647,LASC000647,hypothetical protein,NA,93,279,augustus_masked-000002F-processed-gene-79.7,augustus_masked-000002F-processed-gene-79.7-mRNA-1
LASC000653,LASC000653,hypothetical protein,NA,173,519,augustus_masked-000002F-processed-gene-80.10,augustus_masked-000002F-processed-gene-80.10-mRNA-1
LASC000683,helq,Helicase POLQ-like,NA,986,2958,augustus_masked-000003F-processed-gene-10.3,augustus_masked-000003F-processed-gene-10.3-mRNA-1
LASC000686,LASC000686,hypothetical protein,NA,153,3375,augustus_masked-000003F-processed-gene-10.5,augustus_masked-000003F-processed-gene-10.5-mRNA-1
LASC000700,tc1a_5,Transposable element Tc1 transposase,NA,253,759,augustus_masked-000003F-processed-gene-23.5,augustus_masked-000003F-processed-gene-23.5-mRNA-1
LASC000706,LASC000706,hypothetical protein,NA,81,243,augustus_masked-000003F-processed-gene-25.9,augustus_masked-000003F-processed-gene-25.9-mRNA-1
LASC000725,LASC000725,hypothetical protein,NA,347,1041,augustus_masked-000003F-processed-gene-32.20,augustus_masked-000003F-processed-gene-32.20-mRNA-1
LASC000732,spopl_5,Speckle-type POZ protein-like,NA,266,798,augustus_masked-000003F-processed-gene-33.11,augustus_masked-000003F-processed-gene-33.11-mRNA-1
LASC000737,pgbd4_19,PiggyBac transposable element-derived protein 4,NA,360,1080,augustus_masked-000003F-processed-gene-37.0,augustus_masked-000003F-processed-gene-37.0-mRNA-1
LASC000738,tdpoz1_18,TD and POZ domain-containing protein 1,NA,482,1446,augustus_masked-000003F-processed-gene-37.1,augustus_masked-000003F-processed-gene-37.1-mRNA-1
LASC000756,LASC000756,hypothetical protein,NA,234,702,augustus_masked-000003F-processed-gene-44.14,augustus_masked-000003F-processed-gene-44.14-mRNA-1
LASC000764,znf91,Zinc finger protein 91,NA,809,2427,augustus_masked-000003F-processed-gene-45.3,augustus_masked-000003F-processed-gene-45.3-mRNA-1
LASC000765,zfp26_3,Zinc finger protein 26,NA,545,1635,augustus_masked-000003F-processed-gene-45.4,augustus_masked-000003F-processed-gene-45.4-mRNA-1
LASC000766,zfp26_6,Zinc finger protein 26,NA,556,1668,augustus_masked-000003F-processed-gene-45.5,augustus_masked-000003F-processed-gene-45.5-mRNA-1
LASC000769,LASC000769,hypothetical protein,NA,1410,4230,augustus_masked-000003F-processed-gene-46.7,augustus_masked-000003F-processed-gene-46.7-mRNA-1
LASC000782,LASC000782,hypothetical protein,NA,254,1885,augustus_masked-000003F-processed-gene-49.7,augustus_masked-000003F-processed-gene-49.7-mRNA-1
LASC000671,dcaf5,DDB1- and CUL4-associated factor 5,NA,733,2199,augustus_masked-000003F-processed-gene-5.1,augustus_masked-000003F-processed-gene-5.1-mRNA-1
LASC000783,LASC000783,hypothetical protein,NA,73,219,augustus_masked-000003F-processed-gene-50.10,augustus_masked-000003F-processed-gene-50.10-mRNA-1
LASC000790,atl6,E3 ubiquitin-protein ligase ATL6,NA,122,2118,augustus_masked-000003F-processed-gene-50.18,augustus_masked-000003F-processed-gene-50.18-mRNA-1
LASC000808,LASC000808,hypothetical protein,NA,75,225,augustus_masked-000003F-processed-gene-58.10,augustus_masked-000003F-processed-gene-58.10-mRNA-1
LASC000812,prdm9_5,Histone-lysine N-methyltransferase PRDM9,NA,575,1725,augustus_masked-000003F-processed-gene-59.5,augustus_masked-000003F-processed-gene-59.5-mRNA-1
LASC000811,LASC000811,hypothetical protein,NA,422,1266,augustus_masked-000003F-processed-gene-59.7,augustus_masked-000003F-processed-gene-59.7-mRNA-1
LASC000820,LASC000820,hypothetical protein,NA,74,222,augustus_masked-000003F-processed-gene-62.2,augustus_masked-000003F-processed-gene-62.2-mRNA-1
LASC000831,LASC000831,hypothetical protein,NA,258,774,augustus_masked-000003F-processed-gene-66.10,augustus_masked-000003F-processed-gene-66.10-mRNA-1
LASC000858,LASC000858,hypothetical protein,NA,105,357,augustus_masked-000003F-processed-gene-74.0,augustus_masked-000003F-processed-gene-74.0-mRNA-1
LASC000861,spopl_2,Speckle-type POZ protein-like,NA,411,1233,augustus_masked-000003F-processed-gene-74.7,augustus_masked-000003F-processed-gene-74.7-mRNA-1
LASC000866,spop_2,Speckle-type POZ protein,NA,500,1500,augustus_masked-000003F-processed-gene-75.3,augustus_masked-000003F-processed-gene-75.3-mRNA-1
LASC000868,tdpoz3_11,TD and POZ domain-containing protein 3,NA,500,1784,augustus_masked-000003F-processed-gene-76.0,augustus_masked-000003F-processed-gene-76.0-mRNA-1
LASC000869,ns1_2,Initiator protein NS1,NA,135,405,augustus_masked-000003F-processed-gene-76.3,augustus_masked-000003F-processed-gene-76.3-mRNA-1
LASC000884,rpl21,60S ribosomal protein L21,NA,179,601,augustus_masked-000004F-processed-gene-0.25,augustus_masked-000004F-processed-gene-0.25-mRNA-1
LASC000897,LASC000897,hypothetical protein,NA,353,1059,augustus_masked-000004F-processed-gene-10.3,augustus_masked-000004F-processed-gene-10.3-mRNA-1
LASC000905,LASC000905,hypothetical protein,NA,192,576,augustus_masked-000004F-processed-gene-11.6,augustus_masked-000004F-processed-gene-11.6-mRNA-1
LASC000933,recql5,ATP-dependent DNA helicase Q5,NA,911,2733,augustus_masked-000004F-processed-gene-18.11,augustus_masked-000004F-processed-gene-18.11-mRNA-1
LASC000946,LASC000946,hypothetical protein,NA,100,300,augustus_masked-000004F-processed-gene-21.3,augustus_masked-000004F-processed-gene-21.3-mRNA-1
LASC000967,thap2_11,THAP domain-containing protein 2,NA,123,439,augustus_masked-000004F-processed-gene-27.2,augustus_masked-000004F-processed-gene-27.2-mRNA-1
LASC000969,sult1b1_3,Sulfotransferase family cytosolic 1B member 1,NA,284,2040,augustus_masked-000004F-processed-gene-28.2,augustus_masked-000004F-processed-gene-28.2-mRNA-1
LASC000986,LASC000986,hypothetical protein,NA,140,420,augustus_masked-000004F-processed-gene-50.16,augustus_masked-000004F-processed-gene-50.16-mRNA-1
LASC001003,zadh2_4,Prostaglandin reductase 3,NA,273,819,augustus_masked-000004F-processed-gene-54.13,augustus_masked-000004F-processed-gene-54.13-mRNA-1
LASC001005,LASC001005,hypothetical protein,NA,81,243,augustus_masked-000004F-processed-gene-55.11,augustus_masked-000004F-processed-gene-55.11-mRNA-1
LASC001019,LASC001019,hypothetical protein,NA,76,228,augustus_masked-000004F-processed-gene-58.6,augustus_masked-000004F-processed-gene-58.6-mRNA-1
LASC001021,LASC001021,hypothetical protein,NA,136,408,augustus_masked-000004F-processed-gene-58.8,augustus_masked-000004F-processed-gene-58.8-mRNA-1
LASC001035,phm_2,Cytochrome P450 306a1,NA,123,369,augustus_masked-000004F-processed-gene-63.18,augustus_masked-000004F-processed-gene-63.18-mRNA-1
LASC001033,cyp18a1_11,Cytochrome P450 18a1,NA,500,1660,augustus_masked-000004F-processed-gene-63.9,augustus_masked-000004F-processed-gene-63.9-mRNA-1
LASC001091,gtf3c5,General transcription factor 3C polypeptide 5,NA,443,1329,augustus_masked-000005F-processed-gene-19.13,augustus_masked-000005F-processed-gene-19.13-mRNA-1
LASC001104,LASC001104,hypothetical protein,NA,1230,3690,augustus_masked-000005F-processed-gene-22.11,augustus_masked-000005F-processed-gene-22.11-mRNA-1
LASC001110,LASC001110,hypothetical protein,NA,207,621,augustus_masked-000005F-processed-gene-25.3,augustus_masked-000005F-processed-gene-25.3-mRNA-1
LASC001131,rpp30,Ribonuclease P protein subunit p30,NA,294,882,augustus_masked-000005F-processed-gene-36.11,augustus_masked-000005F-processed-gene-36.11-mRNA-1
LASC001133,LASC001133,hypothetical protein,NA,225,675,augustus_masked-000005F-processed-gene-36.12,augustus_masked-000005F-processed-gene-36.12-mRNA-1
LASC001134,LASC001134,hypothetical protein,NA,136,408,augustus_masked-000005F-processed-gene-36.13,augustus_masked-000005F-processed-gene-36.13-mRNA-1
LASC001138,clp1_2,Polyribonucleotide 5'-hydroxyl-kinase Clp1,NA,423,1269,augustus_masked-000005F-processed-gene-36.17,augustus_masked-000005F-processed-gene-36.17-mRNA-1
LASC001139,clp1_3,Polyribonucleotide 5'-hydroxyl-kinase Clp1,NA,448,1344,augustus_masked-000005F-processed-gene-36.19,augustus_masked-000005F-processed-gene-36.19-mRNA-1
LASC001142,LASC001142,hypothetical protein,NA,75,225,augustus_masked-000005F-processed-gene-38.1,augustus_masked-000005F-processed-gene-38.1-mRNA-1
LASC001154,LASC001154,hypothetical protein,NA,306,918,augustus_masked-000005F-processed-gene-46.6,augustus_masked-000005F-processed-gene-46.6-mRNA-1
LASC001192,LASC001192,hypothetical protein,NA,546,1638,augustus_masked-000005F-processed-gene-66.6,augustus_masked-000005F-processed-gene-66.6-mRNA-1
LASC001248,mid1ip1b,Mid1-interacting protein 1-B,NA,267,801,augustus_masked-000006F-processed-gene-13.5,augustus_masked-000006F-processed-gene-13.5-mRNA-1
LASC001260,boss,Protein bride of sevenless,NA,773,2600,augustus_masked-000006F-processed-gene-17.6,augustus_masked-000006F-processed-gene-17.6-mRNA-1
LASC001266,pnca,Nicotinamidase,NA,340,1020,augustus_masked-000006F-processed-gene-19.10,augustus_masked-000006F-processed-gene-19.10-mRNA-1
LASC001264,ube2g2,Ubiquitin-conjugating enzyme E2 G2,NA,168,504,augustus_masked-000006F-processed-gene-19.9,augustus_masked-000006F-processed-gene-19.9-mRNA-1
LASC001278,LASC001278,hypothetical protein,NA,100,300,augustus_masked-000006F-processed-gene-40.4,augustus_masked-000006F-processed-gene-40.4-mRNA-1
LASC001319,LASC001319,hypothetical protein,NA,144,432,augustus_masked-000006F-processed-gene-52.1,augustus_masked-000006F-processed-gene-52.1-mRNA-1
LASC001336,LASC001336,hypothetical protein,NA,152,456,augustus_masked-000006F-processed-gene-66.4,augustus_masked-000006F-processed-gene-66.4-mRNA-1
LASC001347,frem2,FRAS1-related extracellular matrix protein 2,NA,389,2174,augustus_masked-000006F-processed-gene-72.4,augustus_masked-000006F-processed-gene-72.4-mRNA-1
LASC001398,LASC001398,hypothetical protein,NA,70,210,augustus_masked-000007F-processed-gene-22.2,augustus_masked-000007F-processed-gene-22.2-mRNA-1
LASC001407,orc5,Origin recognition complex subunit 5,NA,442,1326,augustus_masked-000007F-processed-gene-27.4,augustus_masked-000007F-processed-gene-27.4-mRNA-1
LASC001416,rya-r_7,RYamide receptor,NA,167,501,augustus_masked-000007F-processed-gene-32.8,augustus_masked-000007F-processed-gene-32.8-mRNA-1
LASC001435,mrpl39,39S ribosomal protein L39%2C mitochondrial,NA,323,969,augustus_masked-000007F-processed-gene-37.1,augustus_masked-000007F-processed-gene-37.1-mRNA-1
LASC001450,LASC001450,hypothetical protein,NA,111,333,augustus_masked-000007F-processed-gene-41.16,augustus_masked-000007F-processed-gene-41.16-mRNA-1
LASC001469,LASC001469,hypothetical protein,NA,74,222,augustus_masked-000007F-processed-gene-60.4,augustus_masked-000007F-processed-gene-60.4-mRNA-1
LASC001493,atk_2,Protein artichoke,NA,1350,6280,augustus_masked-000008F-processed-gene-1.7,augustus_masked-000008F-processed-gene-1.7-mRNA-1
LASC001535,LASC001535,hypothetical protein,NA,100,300,augustus_masked-000008F-processed-gene-15.4,augustus_masked-000008F-processed-gene-15.4-mRNA-1
LASC001541,LASC001541,hypothetical protein,NA,433,1299,augustus_masked-000008F-processed-gene-18.9,augustus_masked-000008F-processed-gene-18.9-mRNA-1
LASC001561,LASC001561,hypothetical protein,NA,71,213,augustus_masked-000008F-processed-gene-33.9,augustus_masked-000008F-processed-gene-33.9-mRNA-1
LASC001579,LASC001579,hypothetical protein,NA,332,996,augustus_masked-000008F-processed-gene-49.13,augustus_masked-000008F-processed-gene-49.13-mRNA-1
LASC001580,LASC001580,hypothetical protein,NA,506,1518,augustus_masked-000008F-processed-gene-49.14,augustus_masked-000008F-processed-gene-49.14-mRNA-1
LASC001582,wfs1,Wolframin,NA,810,2430,augustus_masked-000008F-processed-gene-50.8,augustus_masked-000008F-processed-gene-50.8-mRNA-1
LASC001591,LASC001591,hypothetical protein,NA,81,243,augustus_masked-000008F-processed-gene-55.1,augustus_masked-000008F-processed-gene-55.1-mRNA-1
LASC001610,LASC001610,hypothetical protein,NA,130,390,augustus_masked-000008F-processed-gene-65.57,augustus_masked-000008F-processed-gene-65.57-mRNA-1
LASC001611,LASC001611,hypothetical protein,NA,72,216,augustus_masked-000008F-processed-gene-65.58,augustus_masked-000008F-processed-gene-65.58-mRNA-1
LASC001612,r1a1-element\orf2_3,Putative 115 kDa protein in type-1 retrotransposable element R1DM,NA,549,1647,augustus_masked-000008F-processed-gene-65.59,augustus_masked-000008F-processed-gene-65.59-mRNA-1
LASC001613,LASC001613,hypothetical protein,NA,309,927,augustus_masked-000008F-processed-gene-65.60,augustus_masked-000008F-processed-gene-65.60-mRNA-1
LASC001614,LASC001614,hypothetical protein,NA,258,774,augustus_masked-000008F-processed-gene-65.61,augustus_masked-000008F-processed-gene-65.61-mRNA-1
LASC001615,LASC001615,hypothetical protein,NA,130,390,augustus_masked-000008F-processed-gene-65.62,augustus_masked-000008F-processed-gene-65.62-mRNA-1
LASC001657,tdpoz3_8,TD and POZ domain-containing protein 3,NA,345,1035,augustus_masked-000009F-processed-gene-11.1,augustus_masked-000009F-processed-gene-11.1-mRNA-1
LASC001696,cyp18a1_5,Cytochrome P450 18a1,NA,500,1591,augustus_masked-000009F-processed-gene-25.11,augustus_masked-000009F-processed-gene-25.11-mRNA-1
LASC001738,nrx-iv,Neurexin-4,NA,1225,7802,augustus_masked-000009F-processed-gene-41.4,augustus_masked-000009F-processed-gene-41.4-mRNA-1
LASC001740,atp6v0a1_2,V-type proton ATPase 116 kDa subunit a isoform 1,NA,448,4079,augustus_masked-000009F-processed-gene-41.7,augustus_masked-000009F-processed-gene-41.7-mRNA-1
LASC001650,seh1l_2,Nucleoporin SEH1,NA,165,637,augustus_masked-000009F-processed-gene-8.1,augustus_masked-000009F-processed-gene-8.1-mRNA-1
LASC001651,seh1l,Nucleoporin SEH1,NA,221,828,augustus_masked-000009F-processed-gene-8.2,augustus_masked-000009F-processed-gene-8.2-mRNA-1
LASC001816,alkbh2_181,"DNA, oxidative, demethylase, ALKBH2",NA,198,594,augustus_masked-000010F-processed-gene-21.39,augustus_masked-000010F-processed-gene-21.39-mRNA-1
LASC001817,alkbh2_101,"DNA, oxidative, demethylase, ALKBH2",NA,198,594,augustus_masked-000010F-processed-gene-22.2,augustus_masked-000010F-processed-gene-22.2-mRNA-1
LASC001828,LASC001828,"hypothetical, protein",NA,255,765,augustus_masked-000010F-processed-gene-31.12,augustus_masked-000010F-processed-gene-31.12-mRNA-1
LASC001841,LASC001841,"hypothetical, protein",NA,85,255,augustus_masked-000010F-processed-gene-33.12,augustus_masked-000010F-processed-gene-33.12-mRNA-1
LASC001844,mitd1,"MIT, domain-containing, protein, 1",NA,262,786,augustus_masked-000010F-processed-gene-35.0,augustus_masked-000010F-processed-gene-35.0-mRNA-1
LASC001850,gin1,"Gypsy, retrotransposon, integrase-like, protein, 1",NA,548,1829,augustus_masked-000010F-processed-gene-38.8,augustus_masked-000010F-processed-gene-38.8-mRNA-1
LASC001860,eprs,"Bifunctional, glutamate/proline--tRNA, ligase",NA,1610,4830,augustus_masked-000010F-processed-gene-40.5,augustus_masked-000010F-processed-gene-40.5-mRNA-1
LASC001880,znf91_4,"Zinc, finger, protein, 91",NA,654,1962,augustus_masked-000010F-processed-gene-48.1,augustus_masked-000010F-processed-gene-48.1-mRNA-1
LASC001893,luc7l2,"Putative, RNA-binding, protein, Luc7-like, 2",NA,290,1568,augustus_masked-000010F-processed-gene-51.13,augustus_masked-000010F-processed-gene-51.13-mRNA-1
LASC001907,LASC001907,"hypothetical, protein",NA,114,342,augustus_masked-000010F-processed-gene-59.1,augustus_masked-000010F-processed-gene-59.1-mRNA-1
LASC001768,LASC001768,"hypothetical, protein",NA,294,882,augustus_masked-000010F-processed-gene-7.3,augustus_masked-000010F-processed-gene-7.3-mRNA-1
LASC001769,LASC001769,"hypothetical, protein",NA,297,891,augustus_masked-000010F-processed-gene-7.4,augustus_masked-000010F-processed-gene-7.4-mRNA-1
LASC001771,LASC001771,"hypothetical, protein",NA,73,451,augustus_masked-000010F-processed-gene-7.8,augustus_masked-000010F-processed-gene-7.8-mRNA-1
LASC001917,LASC001917,hypothetical protein,NA,139,417,augustus_masked-000011F-processed-gene-0.10,augustus_masked-000011F-processed-gene-0.10-mRNA-1
LASC001952,LASC001952,hypothetical protein,NA,388,1248,augustus_masked-000011F-processed-gene-11.11,augustus_masked-000011F-processed-gene-11.11-mRNA-1
LASC001981,LASC001981,hypothetical protein,NA,162,486,augustus_masked-000011F-processed-gene-19.0,augustus_masked-000011F-processed-gene-19.0-mRNA-1
LASC001984,rnf145,RING finger protein 145,NA,312,936,augustus_masked-000011F-processed-gene-21.4,augustus_masked-000011F-processed-gene-21.4-mRNA-1
LASC001985,ndufaf3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,NA,193,579,augustus_masked-000011F-processed-gene-21.7,augustus_masked-000011F-processed-gene-21.7-mRNA-1
LASC001987,LASC001987,hypothetical protein,NA,74,222,augustus_masked-000011F-processed-gene-25.10,augustus_masked-000011F-processed-gene-25.10-mRNA-1
LASC001923,LASC001923,hypothetical protein,NA,76,228,augustus_masked-000011F-processed-gene-3.11,augustus_masked-000011F-processed-gene-3.11-mRNA-1
LASC002012,LASC002012,hypothetical protein,NA,83,249,augustus_masked-000011F-processed-gene-45.11,augustus_masked-000011F-processed-gene-45.11-mRNA-1
LASC002014,elp5,Elongator complex protein 5,NA,279,837,augustus_masked-000011F-processed-gene-46.1,augustus_masked-000011F-processed-gene-46.1-mRNA-1
LASC002039,znf235_8,Zinc finger protein 235,NA,356,1068,augustus_masked-000012F-processed-gene-1.4,augustus_masked-000012F-processed-gene-1.4-mRNA-1
LASC002041,l(2)efl_5,Protein lethal(2)essential for life,NA,181,543,augustus_masked-000012F-processed-gene-1.5,augustus_masked-000012F-processed-gene-1.5-mRNA-1
LASC002040,l(2)efl_6,Protein lethal(2)essential for life,NA,171,513,augustus_masked-000012F-processed-gene-1.7,augustus_masked-000012F-processed-gene-1.7-mRNA-1
LASC002063,LASC002063,hypothetical protein,NA,166,498,augustus_masked-000012F-processed-gene-11.1,augustus_masked-000012F-processed-gene-11.1-mRNA-1
